#image,n_patches,2nd_largest_patch,patch_50+_pix,n_features,mean_patch_size,largest_patch
outputs/tmp_0375_median.npy,29,1018,6,84,69.7037037037,274493
outputs/tmp_0376_median.npy,32,701,5,161,61.5333333333,273112
outputs/tmp_0377_median.npy,27,553,8,55,66.92,273201
outputs/tmp_0378_median.npy,16,3884,4,49,328.571428571,271230
outputs/tmp_0379_median.npy,17,1510,6,36,161.6,274351
outputs/tmp_0380_median.npy,28,538,4,316,43.8076923077,276348
outputs/tmp_0381_median.npy,33,23,1,389,5.0,279400
outputs/tmp_0382_median.npy,27,436,3,507,24.84,278598
outputs/tmp_0383_median.npy,28,336,4,442,26.0384615385,278267
outputs/tmp_0384_median.npy,25,451,3,793,27.7391304348,278380
outputs/tmp_0385_median.npy,32,89,2,1808,6.0,277198
outputs/tmp_0386_median.npy,29,730,3,1294,33.3333333333,276897
outputs/tmp_0387_median.npy,28,44,1,1406,6.57692307692,278482
outputs/tmp_0388_median.npy,30,49,1,1567,5.21428571429,278125
outputs/tmp_0389_median.npy,33,29,1,2134,3.83870967742,276264
outputs/tmp_0390_median.npy,25,56,2,1757,6.65217391304,277979
outputs/tmp_0391_median.npy,39,27,1,2283,2.40540540541,275382
outputs/tmp_0392_median.npy,35,29,1,1965,3.48484848485,276624
outputs/tmp_0393_median.npy,29,49,1,1869,6.7037037037,277422
outputs/tmp_0394_median.npy,26,222,3,1586,14.7083333333,277721
outputs/tmp_0395_median.npy,35,165,2,2005,9.0,276425
outputs/tmp_0396_median.npy,30,46,1,2188,5.57142857143,276141
outputs/tmp_0397_median.npy,26,102,2,1760,10.0833333333,277743
outputs/tmp_0398_median.npy,32,43,1,2020,5.73333333333,276774
outputs/tmp_0399_median.npy,39,48,1,1866,3.64864864865,276071
outputs/tmp_0400_median.npy,34,141,2,2026,8.375,276218
outputs/tmp_0401_median.npy,28,131,3,1768,14.1923076923,277046
outputs/tmp_0402_median.npy,32,177,4,1736,13.9,276964
outputs/tmp_0403_median.npy,34,161,4,1835,13.25,276413
outputs/tmp_0404_median.npy,29,69,3,1975,8.11111111111,277003
