image,n_patches,largest_patch,patch_50+_pix,n_features,mean_patch_size,std_patch_size,mean_displ_X,mean_displ_Y,std_displ_X,std_displ_Y
outputs/tmp_0023_median.npy,14,23.0,0,609,1.916256157635468,2.076820650225002,0.44901315789473684,0.78947368421052677,1.0939314884377946,315.38833783075756
outputs/tmp_0024_median.npy,11,43.0,0,614,1.780130293159609,2.2138583316611267,0.44698205546492659,0.34747145187601969,1.0619399260356288,294.00393757020532
outputs/tmp_0025_median.npy,12,13.0,0,408,1.571078431372549,1.4983150057960501,0.67321867321867324,0.89189189189189133,1.0465843613312333,307.10367498997022
outputs/tmp_0026_median.npy,9,11.0,0,436,1.4793577981651376,1.2348292421632936,0.62988505747126433,1.168965517241378,1.1225554205271577,335.98370677982643
outputs/tmp_0027_median.npy,12,23.0,0,515,1.5883495145631068,1.746413855180875,0.53307392996108949,1.4883268482490282,1.0427197084192905,338.36161283183532
outputs/tmp_0028_median.npy,14,24.0,0,507,1.7140039447731756,2.0164660300827126,0.52964426877470361,0.52173913043478459,1.3846048912068416,335.32573763497112
outputs/tmp_0029_median.npy,16,141.0,1,571,2.0928196147110332,6.1695371278576934,0.46052631578947367,1.4894736842105256,1.3281370280415685,304.55122505475293
outputs/tmp_0030_median.npy,11,68.0,1,434,1.6935483870967742,3.7662832145587495,0.63279445727482675,1.6824480369515007,1.1875651639049289,329.73913016663943
outputs/tmp_0031_median.npy,12,138.0,2,435,2.0367816091954025,7.0664191283232718,0.62211981566820274,0.61290322580645085,1.2702940196318315,319.22328487199786
outputs/tmp_0032_median.npy,19,56.0,1,701,2.1854493580599144,3.5675450154362949,0.3914285714285714,1.0842857142857141,1.1553364853621055,307.70854107897372
outputs/tmp_0033_median.npy,13,32.0,0,443,1.8058690744920993,2.8329346270905496,0.61764705882352944,1.5113122171945688,1.2607045655466027,315.39549654727188
outputs/tmp_0034_median.npy,11,39.0,0,534,1.6947565543071161,2.100136128257784,0.5065666041275797,0.32270168855534603,1.2600022732575318,340.74503724267674
outputs/tmp_0035_median.npy,14,28.0,0,454,1.7048458149779735,2.1478651111506855,0.60154525386313462,1.4768211920529821,1.1614643886735718,298.62685180620235
outputs/tmp_0036_median.npy,31,49.0,0,877,4.1037628278221208,5.430766442552609,0.31050228310502281,0.86929223744292139,1.5648826472742041,288.64950616295414
outputs/tmp_0037_median.npy,14,29.0,0,620,1.6161290322580646,1.8213070057398693,0.44264943457189015,0.73182552504038811,1.0785170767005938,306.2267181973848
outputs/tmp_0038_median.npy,25,44.0,0,985,2.8649746192893399,3.7838880474587242,0.27642276422764228,0.79573170731707199,1.5202537212879685,287.222007075531
outputs/tmp_0039_median.npy,14,21.0,0,617,1.6580226904376012,1.7772389434304894,0.44264069264069267,1.2364718614718615,1.2114433945394774,309.35721576069886
outputs/tmp_0040_median.npy,17,41.0,0,869,1.8895281933256616,2.4722614672479,0.31451612903225806,0.88997695852534531,1.4178051590224039,297.72283231037454
outputs/tmp_0041_median.npy,15,35.0,0,807,1.876084262701363,2.2267964849121307,0.32754342431761785,0.80955334987593042,1.096521333737652,300.44319862128361
outputs/tmp_0042_median.npy,24,37.0,0,1025,2.4614634146341463,3.2007206208233714,0.2666015625,0.768554687499999,1.2388582213645511,283.91944663145739
outputs/tmp_0043_median.npy,11,40.0,0,556,1.5449640287769784,2.0133885943353298,0.49189189189189192,1.4126126126126128,1.1809085368085279,305.09008227219886
outputs/tmp_0044_median.npy,25,37.0,0,1082,2.8151571164510165,3.6146435876193586,0.25300647548566141,0.72710453283996346,1.0255955888964146,277.52327184092684
outputs/tmp_0045_median.npy,15,63.0,1,610,1.880327868852459,3.0814792951763237,0.42857142857142855,-0.024630541871921742,1.1981261321094969,330.21294275913039
outputs/tmp_0046_median.npy,13,52.0,1,473,1.7695560253699789,3.1602317490571967,0.58050847457627119,1.879237288135593,1.1952512737312444,350.38838799893438
outputs/tmp_0047_median.npy,19,46.0,0,717,2.2343096234309625,3.207086814290864,0.37988826815642457,1.1829608938547489,1.1721585049193843,310.49688837012241
outputs/tmp_0048_median.npy,10,39.0,0,453,1.5077262693156732,2.0690203918823893,0.60508849557522126,-0.79646017699114813,1.0975764101312309,363.97526751218629
outputs/tmp_0049_median.npy,11,25.0,0,536,1.541044776119403,1.5770609679091554,0.51028037383177571,0.016822429906540357,1.5761920709278909,335.97806192814744
outputs/tmp_0050_median.npy,19,35.0,0,847,1.9940968122786304,2.5907314780910604,0.32387706855791965,0.89893617021276651,1.2940189673211304,294.80299172966744
outputs/tmp_0051_median.npy,12,30.0,0,526,1.5323193916349811,1.7972045098096763,0.52190476190476187,0.9247619047619059,1.0295476943050434,318.50697914456117
outputs/tmp_0052_median.npy,12,15.0,0,620,1.7758064516129033,1.6053524870570677,0.44264943457189015,0.72051696284329558,1.2056810434776428,327.35550321184343
outputs/tmp_0053_median.npy,12,48.0,0,395,1.6354430379746836,2.8030290114731944,0.69035532994923854,1.6725888324873091,1.2716013128726085,350.30163896703351
outputs/tmp_0054_median.npy,14,34.0,0,378,1.7328042328042328,2.7284573366401896,0.72679045092838201,2.021220159151194,1.366819828341528,334.90687427395164
outputs/tmp_0055_median.npy,14,36.0,0,524,1.7194656488549618,2.2084853062804473,0.5047801147227533,-0.68260038240917786,1.0704364181418617,353.02816443803613
outputs/tmp_0056_median.npy,14,21.0,0,508,1.6082677165354331,1.7764011191737841,0.50690335305719925,1.5394477317554247,1.171953438479086,366.83545485706065
